HJD,dmag,err
5695.25212,0.9073,0.1778
5695.26445,1.3646,0.0829
5695.27555,0.9009,0.1609
5698.99918,0.9181,0.5099
5699.00921,1.0034,0.4272
5699.01814,-1.4528,14.2122
5699.04858,0.3933,0.6582
5699.0596,1.2232,0.2295
5699.08158,1.1864,0.2374
5699.0946,1.3677,0.1253
5699.10361,1.122,0.2027
5699.11262,0.5867,0.9608
5699.12565,1.2228,0.2599
5699.13667,1.451,0.1377
5699.14974,1.0871,0.211
5699.16076,1.3813,0.147
5699.16977,1.5191,0.0962
5699.18331,1.2425,0.1674
5699.21362,1.6045,0.153
5699.22294,1.1271,0.4306
5699.23397,1.5659,0.1579
5699.24298,1.4871,0.1971
5699.252,0.7897,0.3749
5699.26305,1.3958,0.1926
5699.27311,0.6841,0.5397
5699.28212,0.9769,0.3318
5699.29314,0.964,0.8927
5700.22719,1.5274,0.505
5700.25446,3.4433,0.4386
5700.29284,1.5105,0.8454
5701.9814,1.7838,0.1528
5702.02492,1.4903,0.1881
5702.03393,1.2945,0.2087
5702.05106,1.4307,0.157
5702.06006,1.5457,0.183
5702.07108,1.4479,0.2033
5702.08311,1.31,0.1974
5702.09288,1.2372,0.2151
5702.1029,1.1343,0.2336
5702.1139,1.3704,0.1727
5702.12394,1.6132,0.1317
5702.13395,1.319,0.1668
5702.14622,1.532,0.1396
5702.15623,1.6466,0.1245
5702.1688,1.5218,0.1408
5702.18083,1.313,0.1687
5702.19084,1.3444,0.1555
5702.20085,1.341,0.1872
5702.21187,1.4822,0.1669
